iter	Passed	Remaining
0	136	136099
1	149	74744
2	154	51276
3	225	56029
4	226	45044
5	227	37675
6	228	32434
7	229	28504
8	231	25537
9	235	23285
10	236	21307
11	238	19619
12	239	18187
13	240	16957
14	241	15888
15	243	14955
16	244	14127
17	248	13533
18	249	12872
19	250	12269
20	251	11723
21	252	11227
22	253	10772
23	292	11883
24	293	11464
25	295	11054
26	296	10680
27	300	10438
28	313	10500
29	316	10221
30	317	9920
31	318	9641
32	320	9399
33	324	9211
34	325	8974
35	326	8755
36	344	8976
37	346	8765
38	347	8558
39	348	8361
40	349	8177
41	353	8053
42	355	7915
43	360	7827
44	361	7674
45	363	7540
46	365	7411
47	367	7281
48	368	7148
49	369	7019
50	370	6895
51	371	6775
52	372	6659
53	373	6551
54	376	6470
55	377	6371
56	379	6271
57	380	6174
58	381	6080
59	382	5988
60	383	5900
61	385	5828
62	386	5749
63	387	5670
64	393	5655
65	394	5582
66	441	6144
67	442	6067
68	443	5988
69	444	5911
70	446	5840
71	447	5770
72	448	5700
73	453	5669
74	454	5607
75	455	5542
76	457	5480
77	458	5419
78	459	5359
79	461	5301
80	462	5244
81	463	5191
82	464	5129
83	468	5105
84	469	5057
85	471	5007
86	472	4956
87	501	5199
88	503	5149
89	504	5098
90	505	5051
91	506	5001
92	507	4951
93	508	4903
94	509	4857
95	512	4825
96	516	4807
97	519	4779
98	520	4736
99	521	4693
100	522	4652
101	523	4610
102	524	4570
103	525	4530
104	526	4491
105	528	4461
106	531	4435
107	532	4400
108	534	4365
109	599	4851
110	600	4812
111	602	4773
112	603	4733
113	604	4695
114	605	4656
115	606	4618
116	606	4579
117	607	4543
118	608	4507
119	610	4475
120	612	4452
121	614	4419
122	615	4386
123	616	4354
124	617	4321
125	618	4290
126	619	4256
127	620	4225
128	621	4195
129	622	4165
130	623	4136
131	624	4107
132	626	4080
133	748	4837
134	749	4804
135	750	4770
136	752	4737
137	754	4713
138	755	4682
139	757	4652
140	760	4632
141	761	4598
142	762	4566
143	763	4538
144	765	4511
145	766	4481
146	767	4452
147	768	4422
148	769	4393
149	770	4365
150	771	4336
151	772	4309
152	773	4281
153	778	4275
154	780	4252
155	781	4226
156	782	4201
157	784	4180
158	795	4206
159	798	4193
160	799	4166
161	800	4141
162	817	4196
163	818	4174
164	820	4149
165	827	4157
166	829	4136
167	833	4129
168	835	4105
169	836	4083
170	841	4077
171	843	4062
172	846	4046
173	848	4026
174	893	4213
175	895	4194
176	897	4171
177	898	4149
178	899	4126
179	901	4104
180	902	4083
181	903	4061
182	904	4039
183	909	4031
184	911	4014
185	913	3999
186	915	3978
187	916	3958
188	917	3937
189	918	3917
190	920	3899
191	923	3885
192	950	3976
193	956	3975
194	958	3955
195	960	3938
196	962	3925
197	977	3958
198	982	3953
199	986	3945
200	990	3938
201	992	3921
202	1016	3991
203	1020	3982
204	1022	3964
205	1028	3962
206	1029	3944
207	1031	3928
208	1045	3957
209	1046	3938
210	1057	3954
211	1068	3972
212	1074	3968
213	1076	3954
214	1077	3935
215	1079	3918
216	1081	3902
217	1084	3888
218	1085	3872
219	1086	3853
220	1088	3835
221	1089	3816
222	1090	3798
223	1091	3781
224	1092	3763
225	1097	3758
226	1098	3742
227	1100	3725
228	1103	3716
229	1107	3708
230	1109	3694
231	1110	3677
232	1112	3663
233	1114	3647
234	1116	3633
235	1127	3649
236	1129	3634
237	1130	3620
238	1139	3628
239	1140	3613
240	1142	3597
241	1144	3585
242	1146	3572
243	1148	3559
244	1162	3582
245	1173	3596
246	1178	3591
247	1187	3602
248	1191	3594
249	1193	3580
250	1200	3583
251	1201	3567
252	1203	3552
253	1204	3537
254	1205	3522
255	1206	3507
256	1208	3492
257	1209	3477
258	1210	3462
259	1215	3460
260	1217	3447
261	1219	3433
262	1220	3419
263	1221	3405
264	1224	3397
265	1231	3399
266	1233	3385
267	1234	3372
268	1235	3358
269	1238	3349
270	1240	3335
271	1246	3337
272	1248	3325
273	1250	3314
274	1252	3302
275	1253	3288
276	1261	3292
277	1263	3280
278	1264	3268
279	1266	3257
280	1268	3245
281	1295	3299
282	1297	3286
283	1298	3273
284	1300	3262
285	1301	3250
286	1308	3251
287	1310	3240
288	1312	3228
289	1313	3215
290	1314	3202
291	1315	3189
292	1325	3199
293	1327	3186
294	1328	3173
295	1329	3161
296	1330	3149
297	1331	3137
298	1338	3139
299	1342	3131
300	1344	3121
301	1345	3110
302	1346	3098
303	1347	3086
304	1360	3101
305	1364	3095
306	1366	3085
307	1369	3076
308	1377	3080
309	1380	3073
310	1382	3063
311	1383	3051
312	1389	3050
313	1391	3040
314	1393	3031
315	1395	3020
316	1397	3011
317	1399	3002
318	1403	2996
319	1407	2991
320	1409	2981
321	1410	2970
322	1411	2959
323	1418	2959
324	1420	2949
325	1422	2940
326	1423	2929
327	1424	2919
328	1425	2907
329	1427	2897
330	1428	2887
331	1432	2881
332	1433	2871
333	1434	2860
334	1436	2850
335	1438	2843
336	1440	2833
337	1446	2832
338	1448	2824
339	1451	2818
340	1454	2811
341	1457	2805
342	1460	2797
343	1461	2786
344	1462	2777
345	1463	2767
346	1465	2757
347	1466	2747
348	1467	2736
349	1468	2726
350	1469	2716
351	1470	2707
352	1475	2703
353	1477	2696
354	1478	2686
355	1480	2677
356	1481	2669
357	1483	2659
358	1484	2649
359	1489	2648
360	1491	2640
361	1492	2630
362	1493	2621
363	1494	2611
364	1495	2602
365	1496	2592
366	1497	2583
367	1498	2574
368	1500	2565
369	1502	2558
370	1505	2552
371	1506	2544
372	1508	2536
373	1510	2527
374	1511	2518
375	1511	2509
376	1512	2499
377	1513	2490
378	1514	2481
379	1519	2479
380	1521	2471
381	1522	2462
382	1523	2453
383	1524	2444
384	1524	2436
385	1525	2427
386	1526	2418
387	1527	2409
388	1529	2402
389	1530	2393
390	1533	2388
391	1534	2380
392	1538	2376
393	1539	2368
394	1541	2360
395	1542	2352
396	1543	2344
397	1548	2341
398	1552	2338
399	1553	2330
400	1554	2322
401	1591	2367
402	1599	2369
403	1600	2361
404	1602	2353
405	1603	2345
406	1604	2337
407	1605	2329
408	1606	2321
409	1607	2313
410	1612	2310
411	1614	2303
412	1615	2295
413	1616	2287
414	1617	2279
415	1667	2340
416	1669	2333
417	1670	2325
418	1671	2317
419	1673	2310
420	1675	2304
421	1678	2298
422	1680	2291
423	1681	2284
424	1682	2276
425	1684	2269
426	1685	2261
427	1686	2253
428	1687	2245
429	1692	2243
430	1694	2236
431	1696	2231
432	1698	2224
433	1699	2216
434	1700	2209
435	1701	2201
436	1764	2272
437	1765	2265
438	1766	2257
439	1767	2250
440	1777	2252
441	1778	2245
442	1780	2238
443	1783	2233
444	1784	2225
445	1790	2223
446	1791	2216
447	1794	2210
448	1808	2218
449	1809	2211
450	1810	2203
451	1811	2196
452	1813	2189
453	1814	2181
454	1821	2181
455	1860	2219
456	1861	2212
457	1862	2204
458	1870	2205
459	1874	2199
460	1876	2194
461	1883	2193
462	1944	2255
463	1948	2250
464	1950	2243
465	1951	2236
466	1952	2228
467	1953	2220
468	1954	2213
469	1955	2205
470	1956	2197
471	1958	2191
472	1960	2183
473	1964	2180
474	1966	2173
475	1968	2167
476	1970	2160
477	1971	2152
478	1972	2145
479	1975	2140
480	2002	2160
481	2003	2153
482	2005	2146
483	2021	2155
484	2028	2153
485	2032	2149
486	2033	2142
487	2034	2134
488	2040	2131
489	2043	2126
490	2044	2119
491	2047	2113
492	2048	2106
493	2049	2099
494	2055	2097
495	2058	2091
496	2060	2085
497	2062	2079
498	2065	2073
499	2069	2069
500	2070	2062
501	2072	2055
502	2073	2048
503	2074	2041
504	2076	2035
505	2079	2029
506	2080	2022
507	2086	2020
508	2107	2032
509	2110	2027
510	2124	2033
511	2127	2027
512	2129	2021
513	2138	2021
514	2140	2015
515	2146	2013
516	2147	2006
517	2150	2001
518	2152	1994
519	2153	1988
520	2161	1987
521	2164	1982
522	2166	1975
523	2168	1969
524	2172	1965
525	2179	1963
526	2181	1957
527	2182	1951
528	2184	1945
529	2186	1938
530	2189	1933
531	2191	1927
532	2195	1923
533	2196	1916
534	2198	1911
535	2200	1904
536	2208	1903
537	2212	1899
538	2214	1893
539	2215	1887
540	2219	1882
541	2221	1876
542	2222	1870
543	2223	1864
544	2225	1857
545	2227	1851
546	2229	1846
547	2238	1846
548	2240	1840
549	2241	1834
550	2242	1827
551	2243	1820
552	2244	1814
553	2244	1807
554	2245	1800
555	2251	1797
556	2252	1791
557	2253	1785
558	2255	1779
559	2258	1774
560	2260	1769
561	2263	1763
562	2269	1761
563	2270	1755
564	2294	1766
565	2300	1763
566	2301	1757
567	2337	1778
568	2339	1771
569	2340	1765
570	2349	1765
571	2351	1759
572	2357	1756
573	2359	1751
